Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLbcuOFrev9B6APVRXoKlZ42X6dM2Iwtmd,UCj9-K1QJ69ieDDhSO3ZK7IA,2019-06-05 09:58:48 UTC,2020-12-10 03:03:20 UTC,Emotions,,Private

Video Id,Time Added
nLN72sR9w0M,2019-06-19 05:58:16 UTC
9ckv6-yhnIY,2019-06-19 06:09:23 UTC
YYPukrAFK7E,2019-06-19 06:12:23 UTC
Man4Xw8Xypo,2019-06-19 06:13:06 UTC
iIlX_ggGNsE,2019-07-01 01:52:52 UTC
omUuR45iU0g,2019-07-01 20:26:13 UTC
6FEDrU85FLE,2019-07-07 03:45:53 UTC
xdEyZ3-OjU8,2019-07-07 04:08:19 UTC

